null,4.450073,0
aaa,4.4508147,0
bbb,4.4498324,0
cc,4.4499497,0
ff,4.4510136,0
zz,4.449955,0
vv,4.4494357,0
xx,4.433405,0
xx,4.4438577,0
qq,4.44986,0
aaaaaa,4.4498897,0
vvv,4.4499574,0
vvvv,4.433234,0
cccc,4.449892,0
cccc,3.0166614,0
ccc,4.433372,0
vvv,4.449259,0
nn,4.449965,0
ddd,4.4332485,0
cccc,4.4497523,0
fff,4.449967,0
bbb,2.4666631,0
bbb,22.499945,200
vvv,4.4427075,0
nnnn,4.4491563,0
iii,4.4499583,0
11,4.449932,0
bbb,4.437765,0
cc,4.43825,0
cc,3.0166209,0
blaba,16.4833,100
hhh,14.566518,0
rrr,28.933275,200
